duration_hours,group,threshold_label,threshold_mm,model,bin_index,bin_lower,bin_upper,n_samples,mean_forecast_probability,observed_frequency
24,overall,2in,50.8,gnn_csgd,0,0.0,0.1,24081497,0.0018479270346747712,0.0018331501567365185
24,overall,2in,50.8,gnn_csgd,1,0.1,0.2,85788,0.13867256500611325,0.1413367836993519
24,overall,2in,50.8,gnn_csgd,2,0.2,0.3,29082,0.24360878731099572,0.24819475964514132
24,overall,2in,50.8,gnn_csgd,3,0.3,0.4,15222,0.34564610205433116,0.35080804099329915
24,overall,2in,50.8,gnn_csgd,4,0.4,0.5,9460,0.44623671066937437,0.4578224101479915
24,overall,2in,50.8,gnn_csgd,5,0.5,0.6,6331,0.5467772444001383,0.5852156057494866
24,overall,2in,50.8,gnn_csgd,6,0.6,0.7,4409,0.647421479576649,0.7080970741664777
24,overall,2in,50.8,gnn_csgd,7,0.7,0.8,3022,0.7470114568579994,0.828590337524818
24,overall,2in,50.8,gnn_csgd,8,0.8,0.9,2152,0.8474670021230404,0.8787174721189591
24,overall,2in,50.8,gnn_csgd,9,0.9,1.0,1797,0.9480063311577374,0.9599332220367279
24,overall,2in,50.8,raw_hrrr,0,0.0,0.1,24140793,0.0,0.0024460256960075837
24,overall,2in,50.8,raw_hrrr,9,0.9,1.0,97967,1.0,0.2761848377514877
